Unnamed: 0,Jugador,País2017-2018,Posc2017-2018,Equipo2017-2018,Comp2017-2018,Edad2017-2018,Nacimiento2017-2018,90 s2017-2018,Gls.2017-2018,Dis2017-2018,DaP2017-2018,% de TT2017-2018,T/902017-2018,TalArc/902017-2018,G/T2017-2018,G/TalArc2017-2018,Dist2017-2018,FK2017-2018,TP2017-2018,TPint2017-2018,xG2017-2018,npxG2017-2018,npxG/Sh2017-2018,G-xG2017-2018,np:G-xG2017-2018,País2018-2019,Posc2018-2019,Equipo2018-2019,Comp2018-2019,Edad2018-2019,Nacimiento2018-2019,90 s2018-2019,Gls.2018-2019,Dis2018-2019,DaP2018-2019,% de TT2018-2019,T/902018-2019,TalArc/902018-2019,G/T2018-2019,G/TalArc2018-2019,Dist2018-2019,FK2018-2019,TP2018-2019,TPint2018-2019,xG2018-2019,npxG2018-2019,npxG/Sh2018-2019,G-xG2018-2019,np:G-xG2018-2019,País2019-2020,Posc2019-2020,Equipo2019-2020,Comp2019-2020,Edad2019-2020,Nacimiento2019-2020,90 s2019-2020,Gls.2019-2020,Dis2019-2020,DaP2019-2020,% de TT2019-2020,T/902019-2020,TalArc/902019-2020,G/T2019-2020,G/TalArc2019-2020,Dist2019-2020,FK2019-2020,TP2019-2020,TPint2019-2020,xG2019-2020,npxG2019-2020,npxG/Sh2019-2020,G-xG2019-2020,np:G-xG2019-2020,País2020-2021,Posc2020-2021,Equipo2020-2021,Comp2020-2021,Edad2020-2021,Nacimiento2020-2021,90 s2020-2021,Gls.2020-2021,Dis2020-2021,DaP2020-2021,% de TT2020-2021,T/902020-2021,TalArc/902020-2021,G/T2020-2021,G/TalArc2020-2021,Dist2020-2021,FK2020-2021,TP2020-2021,TPint2020-2021,xG2020-2021,npxG2020-2021,npxG/Sh2020-2021,G-xG2020-2021,np:G-xG2020-2021,País2021-2022,Posc2021-2022,Equipo2021-2022,Comp2021-2022,Edad2021-2022,Nacimiento2021-2022,90 s2021-2022,Gls.2021-2022,Dis2021-2022,DaP2021-2022,% de TT2021-2022,T/902021-2022,TalArc/902021-2022,G/T2021-2022,G/TalArc2021-2022,Dist2021-2022,FK2021-2022,TP2021-2022,TPint2021-2022,xG2021-2022,npxG2021-2022,npxG/Sh2021-2022,G-xG2021-2022,np:G-xG2021-2022,País2022-2023,Posc2022-2023,Equipo2022-2023,Comp2022-2023,Edad2022-2023,Nacimiento2022-2023,90 s2022-2023,Gls.2022-2023,Dis2022-2023,DaP2022-2023,% de TT2022-2023,T/902022-2023,TalArc/902022-2023,G/T2022-2023,G/TalArc2022-2023,Dist2022-2023,FK2022-2023,TP2022-2023,TPint2022-2023,xG2022-2023,npxG2022-2023,npxG/Sh2022-2023,G-xG2022-2023,np:G-xG2022-2023
0,Patrick van Aanholt,101,4,36,3,26.0,1990.0,24.3,5.0,33.0,11.0,33.3,1.36,0.45,0.15,0.45,23.4,4.0,0.0,0.0,3.1,3.1,0.09,1.9,1.9,101,4,36,3,27.0,1990.0,35.5,3.0,45.0,11.0,24.4,1.27,0.31,0.07,0.27,20.7,0.0,0.0,0.0,2.6,2.6,0.06,0.4,0.4,101,4,36,3,28.0,1990.0,27.9,3.0,26.0,5.0,19.2,0.93,0.18,0.08,0.4,21.7,3.0,1.0,1.0,2.1,1.3,0.05,0.9,0.7,101,4,36,3,29.0,1990.0,19.7,0.0,18.0,5.0,27.8,0.91,0.25,0.0,0.0,21.1,3.0,0.0,0.0,1.4,1.4,0.08,-1.4,-1.4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Rolando Aarons,42,3,96,3,21.0,1995.0,7.2,0.0,5.0,0.0,0.0,1.81,0.0,0.0,0.0,37.3,0.0,0.0,0.0,0.3,0.3,0.08,-0.3,-0.3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Ignazio Abate,69,4,89,6,30.0,1986.0,11.7,1.0,4.0,2.0,50.0,0.34,0.17,0.25,0.5,17.1,0.0,0.0,0.0,0.2,0.2,0.04,0.8,0.8,69,4,89,6,31.0,1986.0,14.5,0.0,1.0,1.0,100.0,0.07,0.07,0.0,0.0,12.5,0.0,0.0,0.0,0.1,0.1,0.08,-0.1,-0.1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Aymen Abdennour,124,4,87,5,27.0,1989.0,5.5,0.0,2.0,1.0,50.0,0.36,0.18,0.0,0.0,11.5,0.0,0.0,0.0,0.1,0.1,0.06,-0.1,-0.1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Aly Abeid,93,4,76,4,19.0,1997.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Mehdi Abeid,38,1,38,5,24.0,1992.0,13.1,0.0,21.0,6.0,28.6,1.61,0.46,0.0,0.0,25.2,2.0,0.0,0.0,1.0,1.0,0.05,-1.0,-1.0,38,1,38,5,25.0,1992.0,22.5,3.0,36.0,10.0,27.8,1.6,0.44,0.06,0.2,24.9,0.0,1.0,1.0,2.9,2.1,0.06,0.1,-0.1,38,1,94,5,26.0,1992.0,20.2,1.0,33.0,7.0,21.2,1.63,0.35,0.03,0.14,25.1,3.0,0.0,0.0,1.5,1.5,0.04,-0.5,-0.5,38,1,94,5,27.0,1992.0,14.7,0.0,20.0,0.0,0.0,1.36,0.0,0.0,0.0,23.9,1.0,0.0,0.0,1.0,1.0,0.05,-1.0,-1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,David Abraham,6,4,42,2,31.0,1986.0,25.6,0.0,7.0,1.0,14.3,0.27,0.04,0.0,0.0,19.2,0.0,0.0,0.0,0.4,0.4,0.05,-0.4,-0.4,6,4,42,2,32.0,1986.0,15.8,0.0,5.0,1.0,20.0,0.32,0.06,0.0,0.0,11.4,0.0,0.0,0.0,0.8,0.8,0.15,-0.8,-0.8,6,4,42,2,33.0,1986.0,18.8,2.0,7.0,4.0,57.1,0.37,0.21,0.29,0.5,8.1,0.0,0.0,0.0,1.6,1.6,0.22,0.4,0.4,6,4,42,2,34.0,1986.0,13.6,1.0,10.0,2.0,20.0,0.74,0.15,0.1,0.5,15.9,0.0,0.0,0.0,0.6,0.6,0.06,0.4,0.4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Tammy Abraham,42,8,126,3,19.0,1997.0,19.2,5.0,42.0,13.0,31.0,2.19,0.68,0.12,0.38,13.1,0.0,0.0,0.0,6.8,6.8,0.16,-1.8,-1.8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,8,31,3,21.0,1997.0,24.6,15.0,88.0,35.0,39.8,3.58,1.42,0.17,0.43,11.6,0.0,0.0,0.0,16.4,16.4,0.19,-1.4,-1.4,42,8,31,3,22.0,1997.0,11.6,6.0,32.0,13.0,40.6,2.77,1.13,0.19,0.46,10.7,0.0,0.0,0.0,5.9,5.9,0.18,0.1,0.1,42,8,112,6,23.0,1997.0,34.3,17.0,92.0,35.0,38.0,2.68,1.02,0.15,0.4,12.9,3.0,3.0,3.0,20.7,18.4,0.2,-3.7,-4.4,42,8,112,6,24.0,1997.0,24.3,8.0,62.0,28.0,45.2,2.55,1.15,0.13,0.29,12.0,0.0,0.0,0.0,10.8,10.8,0.17,-2.8,-2.8
8,Amir Abrashi,3,1,49,2,27.0,1990.0,9.4,0.0,5.0,0.0,0.0,0.53,0.0,0.0,0.0,22.2,0.0,0.0,0.0,0.2,0.2,0.04,-0.2,-0.2,3,1,49,2,28.0,1990.0,8.8,0.0,7.0,2.0,28.6,0.8,0.23,0.0,0.0,26.9,0.0,0.0,0.0,0.2,0.2,0.03,-0.2,-0.2,3,1,49,2,29.0,1990.0,7.4,0.0,4.0,2.0,50.0,0.54,0.27,0.0,0.0,20.1,0.0,0.0,0.0,0.5,0.5,0.12,-0.5,-0.5,3,2,49,2,30.0,1990.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Francesco Acerbi,69,4,117,6,29.0,1988.0,38.0,0.0,15.0,2.0,13.3,0.39,0.05,0.0,0.0,18.0,0.0,0.0,0.0,1.0,1.0,0.07,-1.0,-1.0,69,4,70,6,30.0,1988.0,36.8,3.0,18.0,7.0,38.9,0.49,0.19,0.17,0.43,9.8,0.0,0.0,0.0,3.4,3.4,0.2,-0.4,-0.4,69,4,70,6,31.0,1988.0,35.1,2.0,16.0,5.0,31.3,0.46,0.14,0.13,0.4,14.5,0.0,0.0,0.0,2.4,2.4,0.15,-0.4,-0.4,69,4,70,6,32.0,1988.0,31.3,0.0,9.0,0.0,0.0,0.29,0.0,0.0,0.0,13.1,0.0,0.0,0.0,1.1,1.1,0.12,-1.1,-1.1,69,4,70,6,33.0,1988.0,28.2,4.0,15.0,7.0,46.7,0.53,0.25,0.27,0.57,10.8,0.0,0.0,0.0,2.4,2.4,0.16,1.6,1.6,69,4,65,6,34.0,1988.0,26.9,0.0,18.0,2.0,11.1,0.67,0.07,0.0,0.0,15.9,0.0,0.0,0.0,1.0,1.0,0.06,-1.0,-1.0
10,Afriyie Acquah,51,1,127,6,25.0,1992.0,10.6,1.0,9.0,3.0,33.3,0.85,0.28,0.11,0.33,24.2,0.0,0.0,0.0,0.4,0.4,0.04,0.6,0.6,51,1,44,6,26.0,1992.0,16.8,2.0,22.0,7.0,31.8,1.31,0.42,0.09,0.29,20.8,0.0,0.0,0.0,1.4,1.4,0.07,0.6,0.6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Charlie Adam,114,1,123,3,31.0,1985.0,4.6,0.0,9.0,2.0,22.2,1.97,0.44,0.0,0.0,31.5,3.0,0.0,1.0,1.6,0.9,0.09,-1.6,-0.9,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Antonio Adán,43,12,17,4,30.0,1987.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,12,11,4,31.0,1987.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,12,11,4,32.0,1987.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Aday,43,4,54,4,29.0,1987.0,20.4,2.0,31.0,12.0,38.7,1.52,0.59,0.03,0.08,22.8,5.0,1.0,2.0,2.8,1.3,0.04,-0.8,-0.3,43,5,54,4,30.0,1987.0,7.2,0.0,9.0,3.0,33.3,1.26,0.42,0.0,0.0,27.1,2.0,0.0,0.0,0.3,0.3,0.03,-0.3,-0.3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Khaled Adénon,14,4,4,5,32.0,1985.0,32.5,0.0,5.0,1.0,20.0,0.15,0.03,0.0,0.0,9.1,0.0,0.0,0.0,0.6,0.6,0.13,-0.6,-0.6,14,4,4,5,33.0,1985.0,22.2,0.0,8.0,0.0,0.0,0.36,0.0,0.0,0.0,10.8,0.0,0.0,0.0,0.7,0.7,0.09,-0.7,-0.7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Claud Adjapong,69,6,117,6,19.0,1998.0,13.6,0.0,14.0,4.0,28.6,1.03,0.3,0.0,0.0,20.7,0.0,0.0,0.0,0.8,0.8,0.06,-0.8,-0.8,69,3,117,6,20.0,1998.0,3.0,1.0,2.0,1.0,50.0,0.67,0.33,0.5,1.0,18.0,0.0,0.0,0.0,0.7,0.7,0.36,0.3,0.3,69,4,60,6,21.0,1998.0,2.6,0.0,3.0,1.0,33.3,1.17,0.39,0.0,0.0,14.1,0.0,0.0,0.0,0.2,0.2,0.08,-0.2,-0.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,René Adler,35,12,83,2,32.0,1985.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Yacine Adli,46,8,104,5,17.0,2000.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,1,20,5,18.0,2000.0,2.4,0.0,1.0,0.0,0.0,0.42,0.0,0.0,0.0,46.4,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,46,1,20,5,19.0,2000.0,11.3,3.0,17.0,6.0,35.3,1.5,0.53,0.18,0.5,23.8,1.0,0.0,0.0,0.8,0.8,0.04,2.2,2.2,46,1,20,5,20.0,2000.0,26.9,2.0,24.0,9.0,37.5,0.89,0.33,0.08,0.22,20.0,1.0,0.0,0.0,1.9,1.9,0.08,0.1,0.1,46,3,20,5,21.0,2000.0,25.1,1.0,32.0,15.0,46.9,1.27,0.6,0.03,0.07,21.2,4.0,0.0,0.0,2.0,2.0,0.06,-1.0,-1.0,46,3,89,6,22.0,2000.0,1.6,0.0,2.0,2.0,100.0,1.25,1.25,0.0,0.0,18.5,0.0,0.0,0.0,0.1,0.1,0.04,-0.1,-0.1
18,Ali Adnan Kadhim,66,6,131,6,23.0,1993.0,18.6,0.0,12.0,3.0,25.0,0.65,0.16,0.0,0.0,27.6,5.0,0.0,0.0,0.5,0.5,0.04,-0.5,-0.5,66,4,9,6,24.0,1993.0,1.8,0.0,3.0,0.0,0.0,1.63,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.2,0.2,0.08,-0.2,-0.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Adrián,43,12,140,3,30.0,1987.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,12,79,3,32.0,1987.0,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,12,79,3,33.0,1987.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Aritz Aduriz,43,8,10,4,36.0,1981.0,23.9,9.0,56.0,23.0,41.1,2.34,0.96,0.11,0.26,13.5,0.0,3.0,5.0,11.1,7.6,0.13,-2.1,-1.6,43,8,10,4,37.0,1981.0,10.5,2.0,17.0,9.0,52.9,1.62,0.86,0.0,0.0,15.0,0.0,2.0,2.0,3.3,1.8,0.1,-1.3,-1.8,43,9,10,4,38.0,1981.0,2.3,1.0,6.0,2.0,33.3,2.6,0.87,0.17,0.5,15.7,0.0,0.0,1.0,1.6,0.8,0.13,-0.6,0.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Ibrahim Afellay,101,1,123,3,31.0,1986.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Benik Afobe,20,8,21,3,24.0,1993.0,6.8,0.0,8.0,3.0,37.5,1.18,0.44,0.0,0.0,8.6,0.0,0.0,0.0,1.6,1.6,0.21,-1.6,-1.6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
