,Jugador,País2017-2018,Posc2017-2018,Equipo2017-2018,Comp2017-2018,Edad2017-2018,Nacimiento2017-2018,90 s2017-2018,ACT2017-2018,SCA902017-2018,PassLive2017-2018,PassDead2017-2018,HASTA2017-2018,Dis2017-2018,FR2017-2018,Def2017-2018,ACG2017-2018,GCA902017-2018,PassLive.12017-2018,PassDead.12017-2018,HASTA.12017-2018,Dis.12017-2018,FR.12017-2018,Def.12017-2018,País2018-2019,Posc2018-2019,Equipo2018-2019,Comp2018-2019,Edad2018-2019,Nacimiento2018-2019,90 s2018-2019,ACT2018-2019,SCA902018-2019,PassLive2018-2019,PassDead2018-2019,HASTA2018-2019,Dis2018-2019,FR2018-2019,Def2018-2019,ACG2018-2019,GCA902018-2019,PassLive.12018-2019,PassDead.12018-2019,HASTA.12018-2019,Dis.12018-2019,FR.12018-2019,Def.12018-2019,País2019-2020,Posc2019-2020,Equipo2019-2020,Comp2019-2020,Edad2019-2020,Nacimiento2019-2020,90 s2019-2020,ACT2019-2020,SCA902019-2020,PassLive2019-2020,PassDead2019-2020,HASTA2019-2020,Dis2019-2020,FR2019-2020,Def2019-2020,ACG2019-2020,GCA902019-2020,PassLive.12019-2020,PassDead.12019-2020,HASTA.12019-2020,Dis.12019-2020,FR.12019-2020,Def.12019-2020,País2020-2021,Posc2020-2021,Equipo2020-2021,Comp2020-2021,Edad2020-2021,Nacimiento2020-2021,90 s2020-2021,ACT2020-2021,SCA902020-2021,PassLive2020-2021,PassDead2020-2021,HASTA2020-2021,Dis2020-2021,FR2020-2021,Def2020-2021,ACG2020-2021,GCA902020-2021,PassLive.12020-2021,PassDead.12020-2021,HASTA.12020-2021,Dis.12020-2021,FR.12020-2021,Def.12020-2021,País2021-2022,Posc2021-2022,Equipo2021-2022,Comp2021-2022,Edad2021-2022,Nacimiento2021-2022,90 s2021-2022,ACT2021-2022,SCA902021-2022,PassLive2021-2022,PassDead2021-2022,HASTA2021-2022,Dis2021-2022,FR2021-2022,Def2021-2022,ACG2021-2022,GCA902021-2022,PassLive.12021-2022,PassDead.12021-2022,HASTA.12021-2022,Dis.12021-2022,FR.12021-2022,Def.12021-2022,País2022-2023,Posc2022-2023,Equipo2022-2023,Comp2022-2023,Edad2022-2023,Nacimiento2022-2023,90 s2022-2023,ACT2022-2023,SCA902022-2023,PassLive2022-2023,PassDead2022-2023,HASTA2022-2023,Dis2022-2023,FR2022-2023,Def2022-2023,ACG2022-2023,GCA902022-2023,PassLive.12022-2023,PassDead.12022-2023,HASTA.12022-2023,Dis.12022-2023,FR.12022-2023,Def.12022-2023
0,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,26.0,1990.0,24.3,46.0,1.9,24.0,12.0,6.0,2.0,1.0,1.0,4.0,0.16,2.0,0.0,2.0,0.0,0.0,0.0,nl NED,DF,Crystal Palace,eng Premier League,27.0,1990.0,35.5,86.0,2.42,67.0,8.0,2.0,7.0,2.0,0.0,6.0,0.17,4.0,1.0,0.0,1.0,0.0,0.0,nl NED,DF,Crystal Palace,eng Premier League,28.0,1990.0,27.9,64.0,2.3,34.0,23.0,4.0,2.0,1.0,0.0,5.0,0.18,3.0,1.0,1.0,0.0,0.0,0.0,nl NED,DF,Crystal Palace,eng Premier League,29.0,1990.0,19.7,30.0,1.52,27.0,2.0,1.0,0.0,0.0,0.0,3.0,0.15,2.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Rolando Aarons,eng ENG,"CC,DL",Newcastle Utd,eng Premier League,21.0,1995.0,7.2,6.0,1.52,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Ignazio Abate,it ITA,DF,Milan,it Serie A,30.0,1986.0,11.7,27.0,2.3,24.0,1.0,0.0,2.0,0.0,0.0,4.0,0.34,3.0,0.0,0.0,1.0,0.0,0.0,it ITA,DF,Milan,it Serie A,31.0,1986.0,14.5,23.0,1.59,23.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Aymen Abdennour,tn TUN,DF,Marseille,fr Ligue 1,27.0,1989.0,5.5,2.0,0.36,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Aly Abeid,mr MTN,DF,Levante,es La Liga,19.0,1997.0,0.9,2.0,2.34,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Mehdi Abeid,dz ALG,CC,Dijon,fr Ligue 1,24.0,1992.0,13.1,19.0,1.46,13.0,1.0,1.0,3.0,0.0,1.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0,dz ALG,CC,Dijon,fr Ligue 1,25.0,1992.0,22.5,41.0,1.82,30.0,4.0,4.0,1.0,1.0,1.0,2.0,0.09,2.0,0.0,0.0,0.0,0.0,0.0,dz ALG,CC,Nantes,fr Ligue 1,26.0,1992.0,20.2,53.0,2.63,30.0,16.0,1.0,3.0,1.0,2.0,4.0,0.2,2.0,1.0,0.0,1.0,0.0,0.0,dz ALG,CC,Nantes,fr Ligue 1,27.0,1992.0,14.7,31.0,2.11,18.0,5.0,3.0,1.0,2.0,2.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,31.0,1986.0,25.6,20.0,0.78,17.0,2.0,0.0,1.0,0.0,0.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0,ar ARG,DF,Eint Frankfurt,de Bundesliga,32.0,1986.0,15.8,12.0,0.76,9.0,0.0,1.0,1.0,1.0,0.0,1.0,0.06,0.0,0.0,0.0,1.0,0.0,0.0,ar ARG,DF,Eint Frankfurt,de Bundesliga,33.0,1986.0,18.8,13.0,0.69,12.0,0.0,0.0,1.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,ar ARG,DF,Eint Frankfurt,de Bundesliga,34.0,1986.0,13.6,5.0,0.37,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Tammy Abraham,eng ENG,DL,Swansea City,eng Premier League,19.0,1997.0,19.2,42.0,2.19,19.0,0.0,11.0,5.0,5.0,2.0,2.0,0.1,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,eng ENG,DL,Chelsea,eng Premier League,21.0,1997.0,24.6,57.0,2.32,37.0,0.0,5.0,10.0,2.0,3.0,9.0,0.37,4.0,0.0,2.0,2.0,1.0,0.0,eng ENG,DL,Chelsea,eng Premier League,22.0,1997.0,11.6,17.0,1.47,9.0,0.0,2.0,4.0,2.0,0.0,2.0,0.17,1.0,0.0,0.0,0.0,1.0,0.0,eng ENG,DL,Roma,it Serie A,23.0,1997.0,34.3,94.0,2.74,62.0,1.0,6.0,17.0,7.0,1.0,14.0,0.41,6.0,0.0,2.0,3.0,3.0,0.0,eng ENG,DL,Roma,it Serie A,24.0,1997.0,24.3,70.0,2.88,46.0,0.0,7.0,10.0,7.0,0.0,9.0,0.37,4.0,0.0,1.0,3.0,1.0,0.0
8,Amir Abrashi,al ALB,CC,Freiburg,de Bundesliga,27.0,1990.0,9.4,14.0,1.48,10.0,0.0,0.0,1.0,3.0,0.0,2.0,0.21,2.0,0.0,0.0,0.0,0.0,0.0,al ALB,CC,Freiburg,de Bundesliga,28.0,1990.0,8.8,8.0,0.91,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,al ALB,CC,Freiburg,de Bundesliga,29.0,1990.0,7.4,10.0,1.35,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,al ALB,"CC,DF",Freiburg,de Bundesliga,30.0,1990.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Francesco Acerbi,it ITA,DF,Sassuolo,it Serie A,29.0,1988.0,38.0,30.0,0.79,28.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,it ITA,DF,Lazio,it Serie A,30.0,1988.0,36.8,31.0,0.84,27.0,0.0,0.0,1.0,3.0,0.0,2.0,0.05,1.0,0.0,0.0,1.0,0.0,0.0,it ITA,DF,Lazio,it Serie A,31.0,1988.0,35.1,37.0,1.05,34.0,0.0,0.0,2.0,1.0,0.0,5.0,0.14,5.0,0.0,0.0,0.0,0.0,0.0,it ITA,DF,Lazio,it Serie A,32.0,1988.0,31.3,31.0,0.99,26.0,1.0,0.0,2.0,0.0,2.0,5.0,0.16,5.0,0.0,0.0,0.0,0.0,0.0,it ITA,DF,Lazio,it Serie A,33.0,1988.0,28.2,17.0,0.61,13.0,1.0,0.0,1.0,2.0,0.0,2.0,0.07,1.0,0.0,0.0,0.0,1.0,0.0,it ITA,DF,Inter,it Serie A,34.0,1988.0,26.9,37.0,1.37,34.0,1.0,0.0,2.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0
10,Afriyie Acquah,gh GHA,CC,Torino,it Serie A,25.0,1992.0,10.6,17.0,1.63,13.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gh GHA,CC,Empoli,it Serie A,26.0,1992.0,16.8,44.0,2.62,34.0,0.0,4.0,4.0,2.0,0.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Charlie Adam,sct SCO,CC,Stoke City,eng Premier League,31.0,1985.0,4.6,17.0,3.72,7.0,2.0,3.0,1.0,4.0,0.0,1.0,0.22,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Antonio Adán,es ESP,PO,Betis,es La Liga,30.0,1987.0,30.0,5.0,0.17,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.07,1.0,1.0,0.0,0.0,0.0,0.0,es ESP,PO,Atlético Madrid,es La Liga,31.0,1987.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,es ESP,PO,Atlético Madrid,es La Liga,32.0,1987.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Aday,es ESP,DF,Girona,es La Liga,29.0,1987.0,20.4,56.0,2.75,41.0,7.0,0.0,5.0,3.0,0.0,3.0,0.15,3.0,0.0,0.0,0.0,0.0,0.0,es ESP,"DF,CC",Girona,es La Liga,30.0,1987.0,7.2,28.0,3.91,18.0,6.0,1.0,2.0,1.0,0.0,2.0,0.28,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Khaled Adénon,bj BEN,DF,Amiens,fr Ligue 1,32.0,1985.0,32.5,15.0,0.46,9.0,4.0,0.0,1.0,1.0,0.0,1.0,0.03,0.0,0.0,0.0,1.0,0.0,0.0,bj BEN,DF,Amiens,fr Ligue 1,33.0,1985.0,22.2,11.0,0.5,8.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Claud Adjapong,it ITA,"DF,DL",Sassuolo,it Serie A,19.0,1998.0,13.6,25.0,1.84,17.0,0.0,1.0,2.0,3.0,2.0,2.0,0.15,1.0,0.0,0.0,0.0,1.0,0.0,it ITA,"CC,DL",Sassuolo,it Serie A,20.0,1998.0,3.0,1.0,0.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,it ITA,DF,Hellas Verona,it Serie A,21.0,1998.0,2.6,1.0,0.39,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,René Adler,de GER,PO,Mainz 05,de Bundesliga,32.0,1985.0,14.0,5.0,0.36,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Yacine Adli,fr FRA,DL,Paris S-G,fr Ligue 1,17.0,2000.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fr FRA,CC,Bordeaux,fr Ligue 1,18.0,2000.0,2.4,10.0,4.17,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fr FRA,CC,Bordeaux,fr Ligue 1,19.0,2000.0,11.3,45.0,3.97,29.0,5.0,5.0,2.0,2.0,2.0,7.0,0.62,3.0,1.0,2.0,1.0,0.0,0.0,fr FRA,CC,Bordeaux,fr Ligue 1,20.0,2000.0,26.9,104.0,3.87,78.0,10.0,8.0,2.0,3.0,3.0,10.0,0.37,7.0,1.0,0.0,1.0,1.0,0.0,fr FRA,"CC,DL",Bordeaux,fr Ligue 1,21.0,2000.0,25.1,121.0,4.82,81.0,22.0,6.0,3.0,5.0,4.0,18.0,0.72,13.0,3.0,1.0,0.0,1.0,0.0,fr FRA,"CC,DL",Milan,it Serie A,22.0,2000.0,1.6,3.0,1.87,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.62,1.0,0.0,0.0,0.0,0.0,0.0
18,Ali Adnan Kadhim,iq IRQ,"DF,DL",Udinese,it Serie A,23.0,1993.0,18.6,38.0,2.05,31.0,5.0,1.0,0.0,1.0,0.0,4.0,0.22,3.0,0.0,0.0,0.0,1.0,0.0,iq IRQ,DF,Atalanta,it Serie A,24.0,1993.0,1.8,8.0,4.34,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Adrián,es ESP,PO,West Ham,eng Premier League,30.0,1987.0,19.0,2.0,0.11,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.05,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,es ESP,PO,Liverpool,eng Premier League,32.0,1987.0,9.7,2.0,0.21,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,es ESP,PO,Liverpool,eng Premier League,33.0,1987.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Aritz Aduriz,es ESP,DL,Athletic Club,es La Liga,36.0,1981.0,23.9,35.0,1.46,19.0,0.0,2.0,6.0,7.0,1.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0,es ESP,DL,Athletic Club,es La Liga,37.0,1981.0,10.5,19.0,1.81,14.0,0.0,0.0,3.0,2.0,0.0,1.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,es ESP,"DL,CC",Athletic Club,es La Liga,38.0,1981.0,2.3,2.0,0.87,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Ibrahim Afellay,nl NED,CC,Stoke City,eng Premier League,31.0,1986.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
