RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Tkl,TklG,3.º def.,3.º cent.,3.º ataq.,Tkl.1,Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err
27,Sergio Agüero,ar ARG,DL,Manchester City,eng Premier League,29.0,1988.0,21.8,9.0,6.0,2.0,6.0,1.0,2.0,17.0,11.8,15.0,12.0,1.0,11.0,6.0,15.0,3.0,0.0
28,Ruben Aguilar,fr FRA,DF,Montpellier,fr Ligue 1,24.0,1993.0,27.3,91.0,50.0,37.0,41.0,13.0,36.0,71.0,50.7,35.0,25.0,3.0,22.0,37.0,128.0,90.0,0.0
29,Matías Aguirregaray,uy URU,DF,Las Palmas,es La Liga,28.0,1989.0,12.8,26.0,20.0,12.0,12.0,2.0,12.0,32.0,37.5,20.0,13.0,1.0,12.0,24.0,50.0,25.0,0.0
30,Jean-Eudes Aholou,ci CIV,CC,Strasbourg,fr Ligue 1,23.0,1994.0,33.4,70.0,34.0,32.0,37.0,1.0,17.0,55.0,30.9,38.0,29.0,7.0,22.0,75.0,145.0,58.0,1.0
31,Ailton,br BRA,"DF,CC",Stuttgart,de Bundesliga,22.0,1995.0,1.2,8.0,5.0,3.0,5.0,0.0,4.0,8.0,50.0,4.0,5.0,0.0,5.0,2.0,10.0,5.0,0.0
32,Youssef Aït Bennasser,ma MAR,CC,Caen,fr Ligue 1,21.0,1996.0,22.7,47.0,28.0,17.0,27.0,3.0,15.0,64.0,23.4,49.0,35.0,2.0,33.0,32.0,79.0,30.0,0.0
33,Arlind Ajeti,al ALB,DF,Crotone,it Serie A,23.0,1993.0,14.1,42.0,23.0,25.0,14.0,3.0,18.0,30.0,60.0,12.0,27.0,15.0,12.0,34.0,76.0,82.0,0.0
34,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,22.0,1995.0,10.0,22.0,15.0,14.0,8.0,0.0,15.0,17.0,88.2,2.0,11.0,4.0,7.0,7.0,29.0,43.0,2.0
35,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,22.0,1995.0,37.3,53.0,32.0,34.0,16.0,3.0,22.0,40.0,55.0,18.0,47.0,24.0,23.0,48.0,101.0,246.0,2.0
36,Ager Aketxe,es ESP,CC,Athletic Club,es La Liga,23.0,1993.0,0.4,1.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0
37,Chadrac Akolo,cd COD,"CC,DL",Stuttgart,de Bundesliga,22.0,1995.0,12.2,20.0,14.0,3.0,12.0,5.0,6.0,14.0,42.9,8.0,19.0,0.0,19.0,5.0,25.0,5.0,0.0
38,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,22.0,1995.0,18.8,47.0,39.0,29.0,16.0,2.0,24.0,35.0,68.6,11.0,18.0,4.0,14.0,22.0,69.0,60.0,1.0
39,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,25.0,1992.0,17.2,23.0,14.0,11.0,9.0,3.0,14.0,20.0,70.0,6.0,21.0,6.0,15.0,10.0,33.0,23.0,0.0
40,Lucas Alario,ar ARG,DL,Leverkusen,de Bundesliga,24.0,1992.0,17.2,16.0,10.0,2.0,12.0,2.0,3.0,8.0,37.5,5.0,17.0,4.0,13.0,4.0,20.0,16.0,0.0
41,David Alba,es ESP,DF,Getafe,es La Liga,18.0,1999.0,0.7,1.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0
42,Jordi Alba,es ESP,DF,Barcelona,es La Liga,28.0,1989.0,30.5,63.0,42.0,35.0,22.0,6.0,26.0,52.0,50.0,26.0,34.0,5.0,29.0,68.0,131.0,67.0,1.0
43,Raúl Albentosa,es ESP,DF,La Coruña,es La Liga,28.0,1988.0,19.4,13.0,6.0,9.0,4.0,0.0,7.0,20.0,35.0,13.0,26.0,19.0,7.0,26.0,39.0,92.0,1.0
44,Luis Alberto,es ESP,"DL,CC",Lazio,it Serie A,24.0,1992.0,29.7,39.0,28.0,8.0,23.0,8.0,10.0,44.0,22.7,34.0,30.0,2.0,28.0,16.0,55.0,7.0,0.0
45,Raúl Albiol,es ESP,DF,Napoli,it Serie A,31.0,1985.0,30.5,29.0,19.0,15.0,14.0,0.0,13.0,19.0,68.4,6.0,18.0,13.0,5.0,32.0,61.0,129.0,1.0
46,Miiko Albornoz,cl CHI,"DF,CC",Hannover 96,de Bundesliga,26.0,1990.0,7.8,24.0,20.0,17.0,4.0,3.0,11.0,16.0,68.8,5.0,15.0,2.0,13.0,5.0,29.0,23.0,0.0
47,Marc Albrighton,eng ENG,"CC,DL",Leicester City,eng Premier League,27.0,1989.0,28.2,52.0,33.0,16.0,29.0,7.0,16.0,52.0,30.8,36.0,32.0,4.0,28.0,27.0,79.0,34.0,0.0
48,Paco Alcácer,es ESP,"CC,DL",Barcelona,es La Liga,23.0,1993.0,7.7,4.0,3.0,0.0,2.0,2.0,0.0,6.0,0.0,6.0,5.0,0.0,5.0,11.0,15.0,3.0,0.0
49,Pedro Alcalá,es ESP,DF,Girona,es La Liga,28.0,1989.0,7.7,9.0,5.0,5.0,4.0,0.0,1.0,3.0,33.3,2.0,7.0,3.0,4.0,14.0,23.0,41.0,0.0
50,Thiago Alcántara,es ESP,"CC,DL",Bayern Munich,de Bundesliga,26.0,1991.0,13.9,45.0,35.0,11.0,25.0,9.0,15.0,26.0,57.7,11.0,22.0,3.0,19.0,27.0,72.0,6.0,1.0
51,David Alcibiade,fr FRA,DF,Nantes,fr Ligue 1,25.0,1991.0,2.3,9.0,5.0,5.0,3.0,1.0,2.0,4.0,50.0,2.0,5.0,3.0,2.0,7.0,16.0,8.0,0.0
52,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,28.0,1989.0,13.1,19.0,13.0,7.0,11.0,1.0,8.0,15.0,53.3,7.0,11.0,5.0,6.0,4.0,23.0,55.0,0.0
53,Steve Aldo One,cm CMR,DF,La Coruña,es La Liga,22.0,1995.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0
54,Álex Alegría,es ESP,DL,Levante,es La Liga,24.0,1992.0,7.0,8.0,5.0,1.0,3.0,4.0,2.0,6.0,33.3,4.0,7.0,0.0,7.0,4.0,12.0,9.0,0.0
55,Iván Alejo,es ESP,"CC,DL",Eibar,es La Liga,22.0,1995.0,12.2,20.0,16.0,4.0,9.0,7.0,1.0,10.0,10.0,9.0,9.0,0.0,9.0,5.0,25.0,1.0,0.0
56,Alexander,ar ARG,"CC,DL",Leganés,es La Liga,28.0,1988.0,11.8,14.0,11.0,2.0,11.0,1.0,2.0,12.0,16.7,10.0,11.0,0.0,11.0,22.0,36.0,4.0,0.0
57,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,18.0,1998.0,17.5,37.0,25.0,23.0,9.0,5.0,22.0,36.0,61.1,14.0,20.0,5.0,15.0,28.0,65.0,46.0,1.0
58,Alexis,es ESP,DF,Alavés,es La Liga,31.0,1985.0,24.3,33.0,24.0,24.0,7.0,2.0,20.0,45.0,44.4,25.0,28.0,14.0,14.0,30.0,63.0,114.0,3.0
59,Alisson,br BRA,PO,Roma,it Serie A,24.0,1992.0,37.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,22.0,4.0
60,Allan,br BRA,CC,Napoli,it Serie A,26.0,1991.0,31.7,107.0,68.0,24.0,65.0,18.0,36.0,104.0,34.6,68.0,52.0,3.0,49.0,28.0,135.0,16.0,0.0
61,Joe Allen,wls WAL,CC,Stoke City,eng Premier League,27.0,1990.0,34.9,96.0,62.0,41.0,43.0,12.0,27.0,87.0,31.0,60.0,43.0,9.0,34.0,58.0,154.0,68.0,1.0
62,Dele Alli,eng ENG,"CC,DL",Tottenham,eng Premier League,21.0,1996.0,32.9,46.0,30.0,15.0,21.0,10.0,8.0,34.0,23.5,26.0,33.0,7.0,26.0,19.0,65.0,22.0,1.0
63,Júnior Alonso,py PAR,DF,Lille,fr Ligue 1,24.0,1993.0,30.9,58.0,31.0,36.0,22.0,0.0,28.0,50.0,56.0,22.0,26.0,16.0,10.0,56.0,114.0,153.0,1.0
64,José Alonso Lara,es ESP,CC,Sevilla,es La Liga,17.0,2000.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,Marcos Alonso,es ESP,"DF,CC",Chelsea,eng Premier League,26.0,1990.0,31.7,51.0,33.0,30.0,18.0,3.0,23.0,44.0,52.3,21.0,36.0,5.0,31.0,47.0,98.0,76.0,1.0
66,Ricky Álvarez,ar ARG,CC,Sampdoria,it Serie A,29.0,1988.0,3.0,4.0,2.0,1.0,3.0,0.0,1.0,4.0,25.0,3.0,5.0,0.0,5.0,2.0,6.0,3.0,0.0
67,Sergio Álvarez,es ESP,PO,Celta Vigo,es La Liga,30.0,1986.0,16.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,11.0,1.0
68,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,22.0,1995.0,7.5,12.0,7.0,8.0,4.0,0.0,6.0,9.0,66.7,3.0,8.0,2.0,6.0,11.0,23.0,18.0,0.0
69,Dani Alves,br BRA,DF,Paris S-G,fr Ligue 1,34.0,1983.0,22.9,80.0,57.0,45.0,27.0,8.0,33.0,58.0,56.9,25.0,24.0,3.0,21.0,28.0,108.0,21.0,0.0
70,Ibrahim Amadou,fr FRA,"CC,DF",Lille,fr Ligue 1,24.0,1993.0,26.7,43.0,29.0,24.0,19.0,0.0,14.0,27.0,51.9,13.0,30.0,13.0,17.0,41.0,84.0,70.0,3.0
71,Eloi Amagat,es ESP,CC,Girona,es La Liga,32.0,1985.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Morgan Amalfitano,fr FRA,"CC,DL",Rennes,fr Ligue 1,32.0,1985.0,8.3,8.0,5.0,3.0,3.0,2.0,2.0,5.0,40.0,3.0,6.0,0.0,6.0,4.0,12.0,7.0,0.0
73,Romain Amalfitano,fr FRA,CC,Dijon,fr Ligue 1,27.0,1989.0,30.0,59.0,37.0,18.0,38.0,3.0,25.0,69.0,36.2,44.0,29.0,7.0,22.0,85.0,144.0,35.0,2.0
74,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,22.0,1994.0,5.4,8.0,4.0,7.0,1.0,0.0,3.0,7.0,42.9,4.0,7.0,3.0,4.0,7.0,15.0,21.0,1.0
75,Jordi Amat,id IDN,"DF,CC",Betis,es La Liga,25.0,1992.0,22.7,32.0,23.0,15.0,16.0,1.0,11.0,24.0,45.8,13.0,14.0,4.0,10.0,38.0,70.0,77.0,2.0
76,Amath,sn SEN,"CC,DL",Getafe,es La Liga,21.0,1996.0,31.8,78.0,53.0,32.0,28.0,18.0,24.0,89.0,27.0,65.0,36.0,3.0,33.0,33.0,111.0,20.0,0.0
77,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,23.0,1994.0,24.4,52.0,35.0,32.0,12.0,8.0,23.0,56.0,41.1,33.0,28.0,11.0,17.0,45.0,97.0,86.0,1.0
78,Stephan Ambrosius,gh GHA,DF,Hamburger SV,de Bundesliga,18.0,1998.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,1.0,1.0,1.0,1.0,4.0,0.0
79,Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,19.0,1998.0,35.0,59.0,43.0,45.0,10.0,4.0,22.0,31.0,71.0,9.0,25.0,7.0,18.0,45.0,104.0,127.0,1.0
80,Nadiem Amiri,de GER,CC,Hoffenheim,de Bundesliga,20.0,1996.0,19.4,39.0,26.0,13.0,21.0,5.0,19.0,42.0,45.2,23.0,33.0,4.0,29.0,17.0,56.0,7.0,0.0
81,Ethan Ampadu,wls WAL,DF,Chelsea,eng Premier League,16.0,2000.0,0.1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
82,Nordin Amrabat,ma MAR,DL,Watford,eng Premier League,30.0,1987.0,2.2,6.0,3.0,1.0,5.0,0.0,1.0,3.0,33.3,2.0,1.0,0.0,1.0,0.0,6.0,2.0,0.0
83,Nordin Amrabat,ma MAR,"DL,CC",Leganés,es La Liga,30.0,1987.0,18.0,19.0,10.0,5.0,10.0,4.0,5.0,17.0,29.4,12.0,13.0,0.0,13.0,5.0,24.0,2.0,0.0
84,Jon Ander Serantes,es ESP,PO,Leganés,es La Liga,27.0,1989.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
85,Joachim Andersen,dk DEN,DF,Sampdoria,it Serie A,21.0,1996.0,6.1,8.0,3.0,6.0,2.0,0.0,4.0,4.0,100.0,0.0,6.0,4.0,2.0,9.0,17.0,41.0,1.0
86,Felipe Anderson,br BRA,"DL,CC",Lazio,it Serie A,24.0,1993.0,12.9,34.0,21.0,7.0,11.0,16.0,6.0,35.0,17.1,29.0,17.0,0.0,17.0,11.0,45.0,8.0,1.0
87,Florin Andone,ro ROU,DL,La Coruña,es La Liga,24.0,1993.0,18.2,9.0,7.0,4.0,4.0,1.0,4.0,17.0,23.5,13.0,9.0,2.0,7.0,3.0,12.0,12.0,0.0
88,Nícolas Andrade,br BRA,PO,Hellas Verona,it Serie A,29.0,1988.0,36.0,2.0,1.0,2.0,0.0,0.0,1.0,4.0,25.0,3.0,2.0,0.0,2.0,2.0,4.0,16.0,7.0
89,Benjamin André,fr FRA,CC,Rennes,fr Ligue 1,26.0,1990.0,33.5,93.0,54.0,36.0,50.0,7.0,43.0,113.0,38.1,70.0,56.0,4.0,52.0,57.0,150.0,96.0,1.0
90,Marco Andreolli,it ITA,DF,Cagliari,it Serie A,31.0,1986.0,20.3,25.0,17.0,20.0,4.0,1.0,12.0,20.0,60.0,8.0,24.0,17.0,7.0,30.0,55.0,139.0,0.0
91,Yoann Andreu,fr FRA,DF,Angers,fr Ligue 1,28.0,1989.0,23.0,48.0,30.0,40.0,6.0,2.0,16.0,39.0,41.0,23.0,23.0,5.0,18.0,37.0,85.0,75.0,1.0
92,Miguel Ángel Guerrero,es ESP,DL,Leganés,es La Liga,27.0,1990.0,16.0,7.0,5.0,0.0,2.0,5.0,1.0,11.0,9.1,10.0,11.0,0.0,11.0,9.0,16.0,16.0,0.0
93,José Ángel,es ESP,DF,Eibar,es La Liga,27.0,1989.0,27.0,61.0,44.0,36.0,19.0,6.0,38.0,58.0,65.5,20.0,31.0,1.0,30.0,38.0,99.0,76.0,0.0
94,Miguel Ángel Moyá,es ESP,PO,Real Sociedad,es La Liga,33.0,1984.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,7.0,0.0
95,Miguel Ángel Rubio,es ESP,DF,Getafe,es La Liga,19.0,1998.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
96,Gabriele Angella,it ITA,DF,Udinese,it Serie A,28.0,1989.0,9.9,15.0,13.0,11.0,3.0,1.0,8.0,11.0,72.7,3.0,11.0,9.0,2.0,21.0,36.0,66.0,0.0
97,Cristian Ansaldi,ar ARG,DF,Torino,it Serie A,30.0,1986.0,20.8,49.0,33.0,25.0,20.0,4.0,14.0,37.0,37.8,23.0,23.0,5.0,18.0,20.0,69.0,61.0,0.0
98,Luca Antei,it ITA,DF,Benevento,it Serie A,25.0,1992.0,6.6,19.0,14.0,12.0,7.0,0.0,6.0,11.0,54.5,5.0,10.0,8.0,2.0,26.0,45.0,35.0,0.0
99,Mirco Antenucci,it ITA,DL,SPAL,it Serie A,32.0,1984.0,28.6,16.0,13.0,6.0,8.0,2.0,0.0,21.0,0.0,21.0,14.0,0.0,14.0,11.0,27.0,15.0,0.0
100,Waldemar Anton,de GER,"DF,CC",Hannover 96,de Bundesliga,21.0,1996.0,25.3,65.0,49.0,39.0,21.0,5.0,41.0,65.0,63.1,24.0,56.0,27.0,29.0,39.0,104.0,112.0,3.0
101,Luca Antonelli,it ITA,"DF,DL",Milan,it Serie A,30.0,1987.0,1.6,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,8.0,0.0
102,Michail Antonio,jm JAM,"DL,CC",West Ham,eng Premier League,27.0,1990.0,15.0,15.0,9.0,7.0,6.0,2.0,4.0,14.0,28.6,10.0,14.0,0.0,14.0,13.0,28.0,16.0,0.0
103,Mirko Antonucci,it ITA,DL,Roma,it Serie A,18.0,1999.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,Vitorino Antunes,pt POR,DF,Getafe,es La Liga,30.0,1987.0,31.1,58.0,44.0,42.0,14.0,2.0,38.0,74.0,51.4,36.0,31.0,3.0,28.0,58.0,116.0,89.0,1.0
105,Dennis Aogo,de GER,"CC,DF",Stuttgart,de Bundesliga,30.0,1987.0,21.7,35.0,26.0,17.0,18.0,0.0,14.0,22.0,63.6,8.0,27.0,3.0,24.0,29.0,64.0,27.0,1.0
106,Houssem Aouar,dz ALG,"CC,DL",Lyon,fr Ligue 1,19.0,1998.0,27.0,66.0,42.0,22.0,39.0,5.0,20.0,66.0,30.3,46.0,30.0,0.0,30.0,39.0,105.0,34.0,0.0
107,Alberto Aquilani,it ITA,CC,Las Palmas,es La Liga,33.0,1984.0,14.4,33.0,19.0,13.0,17.0,3.0,11.0,31.0,35.5,20.0,20.0,4.0,16.0,23.0,56.0,23.0,0.0
108,Mauro Arambarri,uy URU,CC,Getafe,es La Liga,21.0,1995.0,23.6,56.0,41.0,19.0,30.0,7.0,14.0,47.0,29.8,33.0,26.0,3.0,23.0,25.0,81.0,36.0,0.0
109,Guilherme Arana,br BRA,DF,Sevilla,es La Liga,20.0,1997.0,2.1,4.0,2.0,3.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,5.0,9.0,8.0,0.0
110,Charles Aránguiz,cl CHI,CC,Leverkusen,de Bundesliga,28.0,1989.0,25.6,75.0,61.0,17.0,50.0,8.0,33.0,62.0,53.2,29.0,46.0,5.0,41.0,48.0,123.0,27.0,2.0
111,Luiz Araújo,br BRA,"DL,CC",Lille,fr Ligue 1,21.0,1996.0,22.4,41.0,31.0,23.0,17.0,1.0,10.0,47.0,21.3,37.0,24.0,0.0,24.0,16.0,57.0,11.0,1.0
112,Sergio Araujo,ar ARG,"CC,DL",Las Palmas,es La Liga,25.0,1992.0,0.4,3.0,2.0,0.0,0.0,3.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
113,Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,30.0,1987.0,26.8,38.0,30.0,24.0,12.0,2.0,21.0,40.0,52.5,19.0,21.0,10.0,11.0,78.0,116.0,108.0,2.0
114,Alphonse Areola,fr FRA,PO,Paris S-G,fr Ligue 1,24.0,1993.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0
115,Scott Arfield,ca CAN,"CC,DL",Burnley,eng Premier League,28.0,1988.0,14.8,36.0,26.0,20.0,13.0,3.0,19.0,44.0,43.2,25.0,22.0,1.0,21.0,11.0,47.0,24.0,0.0
116,Samuel Armenteros,se SWE,DL,Benevento,it Serie A,27.0,1990.0,4.8,4.0,2.0,1.0,3.0,0.0,0.0,3.0,0.0,3.0,1.0,1.0,0.0,1.0,5.0,3.0,0.0
117,Yoël Armougom,fr FRA,"DF,CC",Caen,fr Ligue 1,19.0,1998.0,1.5,2.0,1.0,0.0,1.0,1.0,1.0,1.0,100.0,0.0,1.0,1.0,0.0,1.0,3.0,2.0,1.0
118,José Arnaiz,es ESP,CC,Barcelona,es La Liga,22.0,1995.0,0.1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
119,Marko Arnautović,at AUT,"DL,CC",West Ham,eng Premier League,28.0,1989.0,25.7,21.0,16.0,9.0,8.0,4.0,7.0,19.0,36.8,12.0,20.0,3.0,17.0,13.0,34.0,35.0,0.0
120,Maximilian Arnold,de GER,CC,Wolfsburg,de Bundesliga,23.0,1994.0,27.3,51.0,41.0,23.0,23.0,5.0,25.0,57.0,43.9,32.0,31.0,4.0,27.0,28.0,79.0,34.0,0.0
121,Jann-Fiete Arp,de GER,"DL,CC",Hamburger SV,de Bundesliga,17.0,2000.0,9.4,7.0,5.0,0.0,3.0,4.0,1.0,7.0,14.3,6.0,6.0,0.0,6.0,2.0,9.0,7.0,0.0
122,Alejandro Arribas,es ESP,DF,La Coruña,es La Liga,28.0,1989.0,3.0,2.0,2.0,1.0,1.0,0.0,1.0,5.0,20.0,4.0,5.0,3.0,2.0,6.0,8.0,8.0,0.0
123,Kepa Arrizabalaga,es ESP,PO,Athletic Club,es La Liga,22.0,1994.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,6.0,2.0
124,Harry Arter,ie IRL,CC,Bournemouth,eng Premier League,27.0,1989.0,10.7,19.0,16.0,10.0,7.0,2.0,6.0,23.0,26.1,17.0,18.0,5.0,13.0,9.0,28.0,6.0,0.0
