Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Derribos,Derribos,Derribos,Derribos,Derribos,Desafíos,Desafíos,Desafíos,Desafíos,Bloqueos,Bloqueos,Bloqueos,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Tkl,TklG,3.º def.,3.º cent.,3.º ataq.,Tkl,Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Partidos
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,26,1990,24.3,47,32,29,15,3,16,34,47.1,18,24,5,19,47,94,64,2,Partidos
2,Rolando Aarons,eng ENG,"CC,DL",Newcastle Utd,eng Premier League,21,1995,1.5,4,4,3,1,0,4,6,66.7,2,3,0,3,1,5,0,0,Partidos
3,Rolando Aarons,eng ENG,"CC,DL",Hellas Verona,it Serie A,21,1995,5.7,13,8,4,4,5,1,7,14.3,6,3,1,2,2,15,0,0,Partidos
4,Ignazio Abate,it ITA,DF,Milan,it Serie A,30,1986,11.7,20,17,10,9,1,6,11,54.5,5,22,2,20,8,28,29,0,Partidos
5,Aymen Abdennour,tn TUN,DF,Marseille,fr Ligue 1,27,1989,5.5,7,3,5,2,0,4,7,57.1,3,5,5,0,4,11,20,0,Partidos
6,Aly Abeid,mr MTN,DF,Levante,es La Liga,19,1997,0.9,2,1,1,1,0,0,1,0.0,1,1,0,1,3,5,3,0,Partidos
7,Mehdi Abeid,dz ALG,CC,Dijon,fr Ligue 1,24,1992,13.1,23,15,8,14,1,8,32,25.0,24,11,6,5,18,41,25,2,Partidos
8,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,31,1986,25.6,40,32,29,10,1,27,36,75.0,9,29,15,14,40,80,141,1,Partidos
9,Tammy Abraham,eng ENG,DL,Swansea City,eng Premier League,19,1997,19.2,10,8,1,7,2,1,13,7.7,12,8,1,7,1,11,11,0,Partidos
10,Amir Abrashi,al ALB,CC,Freiburg,de Bundesliga,27,1990,9.4,35,32,15,18,2,16,23,69.6,7,22,5,17,19,54,20,0,Partidos
11,Francesco Acerbi,it ITA,DF,Sassuolo,it Serie A,29,1988,38.0,51,32,26,22,3,22,36,61.1,14,42,21,21,88,139,255,1,Partidos
12,Afriyie Acquah,gh GHA,CC,Torino,it Serie A,25,1992,10.6,8,6,2,6,0,1,7,14.3,6,8,1,7,16,24,10,2,Partidos
13,Charlie Adam,sct SCO,CC,Stoke City,eng Premier League,31,1985,4.6,9,5,2,5,2,5,17,29.4,12,2,0,2,9,18,11,2,Partidos
14,Antonio Adán,es ESP,PO,Betis,es La Liga,30,1987,30.0,1,0,1,0,0,1,1,100.0,0,1,0,1,0,1,11,2,Partidos
15,Aday,es ESP,DF,Girona,es La Liga,29,1987,20.4,17,15,11,4,2,6,17,35.3,11,19,3,16,25,42,52,1,Partidos
